PCA_GHG_Bio,Composite_Water,grouping,sex,diet_group,age_group
2.392,1.914,fish_female_20-29,female,fish,20-29
2.373,2.092,fish_female_30-39,female,fish,30-39
2.239,2.159,fish_female_40-49,female,fish,40-49
2.076,2.315,fish_female_50-59,female,fish,50-59
2.220,2.514,fish_female_60-69,female,fish,60-69
2.180,2.578,fish_female_70-79,female,fish,70-79
2.995,2.472,fish_male_20-29,male,fish,20-29
2.649,2.396,fish_male_30-39,male,fish,30-39
2.579,2.363,fish_male_40-49,male,fish,40-49
2.390,2.366,fish_male_50-59,male,fish,50-59
2.440,2.559,fish_male_60-69,male,fish,60-69
2.388,2.837,fish_male_70-79,male,fish,70-79
2.425,1.952,meat <50_female_20-29,female,meat50,20-29
2.458,2.137,meat <50_female_30-39,female,meat50,30-39
2.403,2.149,meat <50_female_40-49,female,meat50,40-49
2.329,2.232,meat <50_female_50-59,female,meat50,50-59
2.409,2.330,meat <50_female_60-69,female,meat50,60-69
2.399,2.363,meat <50_female_70-79,female,meat50,70-79
2.834,2.042,meat <50_male_20-29,male,meat50,20-29
2.761,2.447,meat <50_male_30-39,male,meat50,30-39
2.651,2.367,meat <50_male_40-49,male,meat50,40-49
2.582,2.252,meat <50_male_50-59,male,meat50,50-59
2.566,2.340,meat <50_male_60-69,male,meat50,60-69
2.738,2.463,meat <50_male_70-79,male,meat50,70-79
4.689,3.184,meat 100+_female_20-29,female,meat100,20-29
4.695,3.243,meat 100+_female_30-39,female,meat100,30-39
4.991,3.112,meat 100+_female_40-49,female,meat100,40-49
5.058,3.156,meat 100+_female_50-59,female,meat100,50-59
4.968,3.227,meat 100+_female_60-69,female,meat100,60-69
5.220,3.432,meat 100+_female_70-79,female,meat100,70-79
5.436,3.725,meat 100+_male_20-29,male,meat100,20-29
4.980,3.551,meat 100+_male_30-39,male,meat100,30-39
5.110,3.201,meat 100+_male_40-49,male,meat100,40-49
5.149,3.246,meat 100+_male_50-59,male,meat100,50-59
5.043,3.436,meat 100+_male_60-69,male,meat100,60-69
5.488,3.503,meat 100+_male_70-79,male,meat100,70-79
3.076,2.470,meat50-99_female_20-29,female,meat,20-29
3.108,2.548,meat50-99_female_30-39,female,meat,30-39
3.226,2.512,meat50-99_female_40-49,female,meat,40-49
3.165,2.535,meat50-99_female_50-59,female,meat,50-59
3.109,2.703,meat50-99_female_60-69,female,meat,60-69
3.205,2.836,meat50-99_female_70-79,female,meat,70-79
3.448,2.793,meat50-99_male_20-29,male,meat,20-29
3.404,2.838,meat50-99_male_30-39,male,meat,30-39
3.464,2.532,meat50-99_male_40-49,male,meat,40-49
3.324,2.613,meat50-99_male_50-59,male,meat,50-59
3.332,2.666,meat50-99_male_60-69,male,meat,60-69
3.494,2.772,meat50-99_male_70-79,male,meat,70-79
0.371,1.264,vegan_female_20-29,female,vegan,20-29
0.474,1.426,vegan_female_30-39,female,vegan,30-39
0.587,1.738,vegan_female_40-49,female,vegan,40-49
0.378,1.709,vegan_female_50-59,female,vegan,50-59
0.455,1.883,vegan_female_60-69,female,vegan,60-69
0.607,2.035,vegan_female_70-79,female,vegan,70-79
0.601,1.688,vegan_male_20-29,male,vegan,20-29
0.508,1.703,vegan_male_30-39,male,vegan,30-39
0.529,1.755,vegan_male_40-49,male,vegan,40-49
0.391,1.556,vegan_male_50-59,male,vegan,50-59
0.411,2.271,vegan_male_60-69,male,vegan,60-69
0.467,1.969,vegan_male_70-79,male,vegan,70-79
2.337,1.365,veggie_female_20-29,female,veggie,20-29
2.283,1.520,veggie_female_30-39,female,veggie,30-39
2.180,1.624,veggie_female_40-49,female,veggie,40-49
2.043,1.763,veggie_female_50-59,female,veggie,50-59
2.138,1.939,veggie_female_60-69,female,veggie,60-69
2.313,2.105,veggie_female_70-79,female,veggie,70-79
2.886,1.757,veggie_male_20-29,male,veggie,20-29
2.708,1.760,veggie_male_30-39,male,veggie,30-39
2.435,1.829,veggie_male_40-49,male,veggie,40-49
2.222,1.784,veggie_male_50-59,male,veggie,50-59
2.255,2.013,veggie_male_60-69,male,veggie,60-69
2.523,2.243,veggie_male_70-79,male,veggie,70-79
1.428,2.374,fish_female_20-29,female,fish,20-29
1.439,2.357,fish_female_30-39,female,fish,30-39
1.504,2.322,fish_female_40-49,female,fish,40-49
1.550,2.473,fish_female_50-59,female,fish,50-59
1.638,2.652,fish_female_60-69,female,fish,60-69
1.606,2.606,fish_female_70-79,female,fish,70-79
1.676,2.690,fish_male_20-29,male,fish,20-29
1.530,2.561,fish_male_30-39,male,fish,30-39
1.484,2.423,fish_male_40-49,male,fish,40-49
1.542,2.465,fish_male_50-59,male,fish,50-59
1.660,2.583,fish_male_60-69,male,fish,60-69
1.706,2.699,fish_male_70-79,male,fish,70-79
1.572,2.298,meat <50_female_20-29,female,meat50,20-29
1.605,2.383,meat <50_female_30-39,female,meat50,30-39
1.656,2.410,meat <50_female_40-49,female,meat50,40-49
1.723,2.593,meat <50_female_50-59,female,meat50,50-59
1.779,2.655,meat <50_female_60-69,female,meat50,60-69
1.715,2.736,meat <50_female_70-79,female,meat50,70-79
1.642,2.286,meat <50_male_20-29,male,meat50,20-29
1.724,2.606,meat <50_male_30-39,male,meat50,30-39
1.659,2.439,meat <50_male_40-49,male,meat50,40-49
1.809,2.536,meat <50_male_50-59,male,meat50,50-59
1.771,2.678,meat <50_male_60-69,male,meat50,60-69
1.854,2.751,meat <50_male_70-79,male,meat50,70-79
2.954,3.821,meat 100+_female_20-29,female,meat100,20-29
2.925,3.891,meat 100+_female_30-39,female,meat100,30-39
3.082,4.005,meat 100+_female_40-49,female,meat100,40-49
3.181,4.168,meat 100+_female_50-59,female,meat100,50-59
3.173,4.259,meat 100+_female_60-69,female,meat100,60-69
3.273,4.415,meat 100+_female_70-79,female,meat100,70-79
3.499,4.238,meat 100+_male_20-29,male,meat100,20-29
3.202,4.046,meat 100+_male_30-39,male,meat100,30-39
3.138,3.902,meat 100+_male_40-49,male,meat100,40-49
3.200,4.151,meat 100+_male_50-59,male,meat100,50-59
3.182,4.258,meat 100+_male_60-69,male,meat100,60-69
3.262,4.528,meat 100+_male_70-79,male,meat100,70-79
2.073,2.870,meat50-99_female_20-29,female,meat,20-29
2.104,2.889,meat50-99_female_30-39,female,meat,30-39
2.169,2.976,meat50-99_female_40-49,female,meat,40-49
2.248,3.058,meat50-99_female_50-59,female,meat,50-59
2.265,3.248,meat50-99_female_60-69,female,meat,60-69
2.305,3.250,meat50-99_female_70-79,female,meat,70-79
