diet_group,age_group,value
vegan,20-29,133
vegan,30-39,105
vegan,40-49,93
vegan,50-59,84
vegan,60-69,125
vegan,70-79,140
veggie,20-29,198
veggie,30-39,199
veggie,40-49,194
veggie,50-59,196
veggie,60-69,195
veggie,70-79,238
fish,20-29,487
fish,30-39,450
fish,40-49,415
fish,50-59,472
fish,60-69,509
fish,70-79,558
meat <50,20-29,532
meat <50,30-39,504
meat <50,40-49,397
meat <50,50-59,387
meat <50,60-69,412
meat <50,70-79,405
meat 50-100,20-29,320
meat 50-100,30-39,435
meat 50-100,40-49,377
meat 50-100,50-59,394
meat 50-100,60-69,396
meat 50-100,70-79,409
meat >100,20-29,250
meat >100,30-39,332
meat >100,40-49,285
meat >100,50-59,299
meat >100,60-69,318
meat >100,70-79,249
