diet_group,age_group,value
vegan,20-29,1864
vegan,30-39,1890
vegan,40-49,1898
vegan,50-59,1916
vegan,60-69,1867
vegan,70-79,1841
veggie,20-29,1728
veggie,30-39,1751
veggie,40-49,1776
veggie,50-59,1784
veggie,60-69,1782
veggie,70-79,1725
fish,20-29,1390
fish,30-39,1450
fish,40-49,1506
fish,50-59,1470
fish,60-69,1413
fish,70-79,1366
meat <50,20-29,1077
meat <50,30-39,1003
meat <50,40-49,990
meat <50,50-59,974
meat <50,60-69,944
meat <50,70-79,865
meat 50-100,20-29,1574
meat 50-100,30-39,1443
meat 50-100,40-49,1499
meat 50-100,50-59,1468
meat 50-100,60-69,1445
meat 50-100,70-79,1397
meat >100,20-29,116
meat >100,30-39,128
meat >100,40-49,151
meat >100,50-59,137
meat >100,60-69,133
meat >100,70-79,102
